FFIEC_ID	SEC_ID	TYPE
491224	839142	Ambiguous
2531991	1251400	Ambiguous
2531991	1418540	Ambiguous
846619	838295	Ambiguous
3150447	1463807	Ambiguous
5210	715579	Ambiguous
94139	838249	Ambiguous
2758613	1562463	Ambiguous
616410	838263	Ambiguous
317342	891438	Ambiguous
501105	838155	Ambiguous
694904	1173497	Ambiguous
850036	1291422	Ambiguous
933256	919458	Ambiguous
568470	1140768	Ambiguous
664206	1054646	Ambiguous
2262718	945597	Ambiguous
645625	735221	Ambiguous
550635	1451950	Ambiguous
550756	1285223	Ambiguous
662949	1546967	Ambiguous
4262534	1080381	Ambiguous
1017939	101116	Ambiguous
1017939	857855	Ambiguous
2163477	1088950	Ambiguous
235174	1344802	TN
434539	838852	TN
101671	1312560	TN
929932	1363591	TN
895710	810958	TN
1356768	838462	TN
3470985	1507277	TN
638355	1456223	TN
2586281	1425576	TN
128904	1107071	TN
19356	838462	TN
161602	759458	TN
928618	707605	TN
952846	1546967	TN
3042234	1456223	TN
3616680	1406585	TN
653611	838462	TN
856243	36644	TN
1862719	1285223	TN
3398100	1315530	TN
4368351	1497476	TN
1014844	838852	TN
2333298	1285223	TN
3390627	1465424	TN
456344	838263	TN
456344	838462	TN
808167	353191	TN
17147	712534	TN
215345	838462	TN
3690701	1586454	TN
732758	1503983	TN
984650	838852	TN
2454867	1468119	TN
2634351	1053584	TN
3271007	1291422	TN
229874	1368252	TN
685676	1272164	TN
3109043	1456255	TN
982348	1546967	TN
601050	926243	TN
664653	1161151	TN
431172	1028918	TN
2356091	838462	TN
917742	7789	TN
616410	838462	TN
1444021	1422727	TN
859655	795411	TN
891226	838852	TN
506922	824410	TN
2489805	1457496	TN
2489805	1599898	TN
3204993	1431054	TN
637170	1057885	TN
455552	838852	TN
755850	1285223	TN
375034	805080	TN
262358	1272164	TN
891673	1169769	TN
504647	838632	TN
272272	1484928	TN
548351	1501921	TN
716374	1455335	TN
738040	1272164	TN
904201	1542299	TN
675341	1505486	TN
230759	838632	TN
421539	1503348	TN
823478	1354772	TN
3168563	1239058	TN
3168563	1467102	TN
278818	838462	TN
3637685	1086763	TN
3637685	1413837	TN
729310	1046188	TN
42671	891055	TN
677644	838852	TN
740249	1214183	TN
207872	1466584	TN
836656	838852	TN
146672	1550517	TN
618807	1054646	TN
2325882	866998	TN
2325882	1466052	TN
644954	1080107	TN
644954	1212566	TN
865142	1546967	TN
882701	1485981	TN
3462074	1492165	TN
776659	1477545	TN
93619	1370965	TN
93619	1458241	TN
93619	1458242	TN
22936	838852	TN
976703	866998	TN
976703	1370965	TN
976703	1466052	TN
159636	885275	TN
3561771	712144	TN
4149037	44402	TN
4149037	225683	TN
4149037	723620	TN
4149037	733006	TN
4149037	866998	TN
4149037	1221327	TN
4149037	1317474	TN
4149037	1370965	TN
4149037	1372742	TN
4149037	1424673	TN
4149037	1426338	TN
4149037	1465109	TN
4149037	1506001	TN
4149037	1562051	TN
767817	1062847	TN
2736451	1163389	TN
905673	1063942	TN
663245	90498	TN
663245	1085338	TN
663245	1145956	TN
3158546	1327607	TN
3158546	1466311	TN
49054	1009076	TN
49054	1567137	TN
808176	933141	TN
2920287	1464398	TN
3393824	1481814	TN
3393824	1559992	TN
3664588	808098	TN
613343	1285223	TN
297761	1006820	TN
686459	1504409	TN
722816	809754	TN
675332	750556	TN
675332	1209324	TN
773247	1466026	TN
574949	838852	TN
3266825	1146222	TN
2925620	1365794	TN
811046	811393	TN
811046	1161914	TN
1412712	1051343	TN
2290887	838462	TN
488318	1292819	TN
488318	1583864	TN
744238	838852	TN
337247	1272164	TN
3157183	841715	TN
205243	838852	TN
2567123	1370965	TN
12311	838966	TN
2869162	1465706	TN
408875	1209324	TN
165806	1161125	TN
697950	275216	TN
2943615	1273555	TN
3400928	1489963	TN
3252	36644	TN
2040	838852	TN
2265456	872821	TN
2265456	1458661	TN
3939222	842366	TN
3939222	891197	TN
3939222	1466052	TN
24668	1456223	TN
700672	855574	TN
3058329	1258831	TN
2788656	1379244	TN
852713	750558	TN
3545324	1014133	TN
569422	723594	TN
884648	101116	TN
3358289	1501835	TN
1018927	1444756	TN
291732	838852	TN
508270	890066	TN
3555695	1569071	TN
3555695	1592152	TN
4231	838852	TN
433505	1384943	TN
693345	714562	TN
693345	855086	TN
670467	1168455	TN
531250	838852	TN
3559938	1456223	TN
1412619	1141807	TN
593771	1616607	TN
725741	838462	TN
682563	825096	TN
822042	703699	TN
988845	760681	TN
116871	1283582	TN
802679	1513971	TN
797467	921547	TN
2735324	1070523	TN
139553	838462	TN
547840	1072847	TN
547840	1510201	TN
186744	838675	TN
3939240	866998	TN
3939240	1370965	TN
74140	842517	TN
74140	1526156	TN
276645	1272164	TN
418249	1105909	TN
2973386	1580641	TN
2973386	1204692	TN
229342	1469236	TN
197759	838675	TN
2654911	898745	TN
2654911	1272325	TN
2897754	1513616	TN
637451	822083	TN
637451	1569620	TN
88772	101116	TN
88772	1344970	TN
88772	1514131	TN
847157	101116	TN
3105308	1462961	TN
697763	311094	TN
368344	1505486	TN
2754389	1559992	TN
777366	59951	TN
3316739	1209324	TN
894544	838462	TN
765019	802681	TN
449038	1389388	TN
449038	1425117	TN
2608754	1042729	TN
844053	36644	TN
687951	1214183	TN
3017081	72174	TN
3017081	742277	TN
3017081	910886	TN
3017081	1359314	TN
3017081	1505919	TN
862945	838462	TN
498317	894671	TN
2132941	912382	TN
2209553	1053352	TN
2533043	1486187	TN
315656	1392894	TN
499752	838850	TN
139740	1166928	TN
2654818	101116	TN
474357	1209324	TN
517900	1051741	TN
497570	1475348	TN
2618780	1440724	TN
2618780	1534401	TN
3938186	1504008	TN
3625048	1488234	TN
764030	351569	TN
276579	1259392	TN
484141	1209324	TN
2811086	1492165	TN
629746	838852	TN
1883321	1472787	TN
3176812	1473224	TN
2805535	1460451	TN
555256	838852	TN
2742153	826675	TN
2742153	1373525	TN
2806626	1414374	TN
209559	1313871	TN
3015939	1388829	TN
638346	101116	TN
372640	838852	TN
3371309	1234069	TN
3371309	1234070	TN
62772	1404306	TN
3437483	1475066	TN
516154	838852	TN
2667939	838852	TN
3022076	1307469	TN
2868352	90498	TN
150035	703329	TN
231242	1165379	TN
231242	1497493	TN
403106	1028954	TN
1440117	1047446	TN
771458	1291422	TN
131650	1613665	TN
485559	930613	TN
98717	1541816	TN
541101	1390777	TN
428547	839287	TN
930358	1506985	TN
3588424	1394342	TN
931207	1227021	TN
1007846	702325	TN
2713920	1324943	TN
2713920	781880	TN
852320	92230	TN
131418	1008932	TN
3138146	1212545	TN
3612525	1412707	TN
18827	1617639	TN
541231	838675	TN
2596646	1495855	TN
30810	894327	TN
210434	73124	TN
210434	1257461	TN
1396764	1494036	TN
448040	1473086	TN
3041974	35616	TN
64730	838852	TN
70058	838852	TN
470050	36029	TN
3650808	1462120	TN
763930	838852	TN
2997748	1124676	TN
2253725	1123735	TN
214807	1433609	TN
176325	838852	TN
439338	101116	TN
2871558	1501944	TN
3221468	1501570	TN
837000	740663	TN
106676	1506242	TN
191935	1495011	TN
133850	838675	TN
94139	1432405	TN
702117	1541816	TN
853671	1501078	TN
786742	838675	TN
3025134	1454620	TN
682611	1486220	TN
2328137	932781	TN
3265257	1276939	TN
3688052	315985	TN
3165320	1590597	TN
197478	1069157	TN
3310287	1185372	TN
3310287	1497476	TN
371232	1515807	TN
745374	1128227	TN
24453	1336925	TN
1015560	1445468	TN
258771	1518715	TN
2914268	357057	TN
2914268	225322	TN
2914268	718891	TN
2914268	278001	TN
2914268	803013	TN
2914268	819118	TN
2914268	880195	TN
853952	1209324	TN
606046	701853	TN
3232370	1062847	TN
61122	1480053	TN
2182786	42352	TN
2182786	353765	TN
2182786	769993	TN
2182786	886982	TN
2182786	904571	TN
2182786	1098457	TN
2182786	1277121	TN
2182786	1318844	TN
2182786	1479026	TN
2182786	1541502	TN
2182786	1557156	TN
2182786	1572694	TN
734248	1546967	TN
348720	838852	TN
2835103	1495677	TN
184142	838263	TN
462774	1366925	TN
462774	1618798	TN
221476	1129847	TN
221476	1285223	TN
2719427	1430805	TN
969639	1429929	TN
476810	1541816	TN
476810	36684	TN
210238	353386	TN
321255	1291422	TN
1001059	838462	TN
2317672	1080421	TN
693662	1084717	TN
392152	1478487	TN
62110	315123	TN
62110	1370965	TN
62110	1466052	TN
35570	1326807	TN
65746	1496378	TN
298049	1546967	TN
660655	891340	TN
257653	838852	TN
2506757	1451432	TN
2717012	1109546	TN
3696936	1433287	TN
352745	839287	TN
3254297	866160	TN
462756	1291422	TN
75558	1285223	TN
377908	838462	TN
617024	714530	TN
619327	1596123	TN
703767	1127371	TN
65513	1370965	TN
723112	35527	TN
723112	840678	TN
3353172	1465054	TN
702676	1606931	TN
815277	1391933	TN
931038	1395548	TN
1459034	934547	TN
735441	1272164	TN
2121196	819975	TN
2253891	922869	TN
514132	819845	TN
39475	726990	TN
245016	832566	TN
3344321	1328011	TN
656733	934729	TN
656733	1112068	TN
656733	1139812	TN
656733	1387280	TN
763677	818677	TN
763677	1460465	TN
763677	1603813	TN
118156	838462	TN
320119	1329842	TN
320119	1457970	TN
806378	1123270	TN
3355587	1389772	TN
93543	838462	TN
3669930	1567861	TN
692946	838462	TN
112837	1332578	TN
112837	1332577	TN
112837	1332579	TN
112837	1463580	TN
112837	1463581	TN
112837	1463582	TN
112837	1463579	TN
991340	34782	TN
707877	1500836	TN
625654	1209324	TN
1396483	1441220	TN
352772	946673	TN
3368635	1185218	TN
762447	700565	TN
633640	838462	TN
3720608	1588871	TN
382069	838632	TN
3440830	1379244	TN
280352	1291422	TN
322757	838852	TN
3357620	1326232	TN
3357620	1356784	TN
2491291	1097631	TN
795968	46195	TN
926959	838392	TN
107244	1038205	TN
107244	1145722	TN
131034	1454367	TN
3309571	1474719	TN
749242	715072	TN
2889227	1006387	TN
2889227	1146215	TN
2889227	1157524	TN
2889227	1211326	TN
2889227	1300213	TN
2889227	1352265	TN
2889227	1361475	TN
2889227	1390455	TN
2889227	1429292	TN
2889227	1442141	TN
2889227	1453006	TN
2889227	1454936	TN
2889227	1464791	TN
2889227	1472136	TN
2889227	1518999	TN
2889227	1524655	TN
2889227	1533116	TN
2889227	1571076	TN
2889227	1578620	TN
2889227	1627484	TN
3153233	1449091	TN
3470239	1548343	TN
3470239	1548344	TN
3470239	1548345	TN
3470239	1548346	TN
446130	838852	TN
424240	839196	TN
691958	1469139	TN
761347	1285596	TN
200378	1169770	TN
448554	1272164	TN
739560	38979	TN
2193616	1088950	TN
1008432	1507480	TN
2949970	1209324	TN
3268249	1070524	TN
764982	1320002	TN
764982	1493491	TN
271631	838852	TN
2262718	1607902	TN
645625	203596	TN
667757	1209324	TN
30874	1359111	TN
30874	1485176	TN
972406	753092	TN
972406	854890	TN
972406	1176278	TN
972406	1302797	TN
972406	1394866	TN
925653	1476494	TN
377850	838462	TN
835613	838462	TN
2434113	1109525	TN
850054	36644	TN
402462	1285223	TN
2916963	1022116	TN
3109584	1410087	TN
3109584	1437629	TN
914648	1475271	TN
467265	36644	TN
477059	1272164	TN
176101	1096144	TN
517674	1605624	TN
509811	350852	TN
564605	921847	TN
58243	1474841	TN
480228	1085917	TN
481430	891340	TN
481430	1272164	TN
3216316	1613125	TN
962966	1449697	TN
307361	1430805	TN
3374234	1302463	TN
612551	1578793	TN
306159	838849	TN
735067	1379244	TN
1411032	893467	TN
280044	275119	TN
3602889	1612419	TN
188430	1228444	TN
2398596	1038773	TN
1897168	1621729	TN
3165357	1478358	TN
12179	1272164	TN
52719	1466052	TN
294779	1046050	TN
398668	913414	TN
929802	860676	TN
2750699	1365997	TN
1386251	760498	TN
760210	838852	TN
2728661	1126961	TN
664176	1420821	TN
353555	1272164	TN
510938	1272164	TN
246022	1007273	TN
361055	1285223	TN
256058	891340	TN
256058	1272164	TN
239613	1035976	TN
2142155	838462	TN
273859	838852	TN
