IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Name Cleaned,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Zip Code 5,Financial Institution Filing Type,Last Date/Time Submission Updated On
"1669,3384,13541,0,111900578,""LIBERTY NATIONAL BANK IN PARIS, THE"",LIBERTY NATIONAL BANK IN PARIS,305 LAMAR AVENUE ,PARIS,TX,75460,75460,41,2014-10-10T08:38:41"
1829,6058,0,0,43000847,ALLEGHENY VALLEY BANK OF PITTSBURGH,ALLEGHENY VALLEY BANK OF PITTSBURGH,5137 BUTLER STREET ,PITTSBURGH,PA,15201,15201,41,2014-10-30T12:44:33
1856,22430,0,0,103105446,WASHITA STATE BANK,WASHITA STATE BANK,701 S HIGHWAY 44 ,BURNS FLAT,OK,73624,73624,41,2014-10-30T12:37:25
2040,13046,0,0,75907442,FARMERS & MERCHANTS BANK,FARMERS AND MERCHANTS BANK,1001 SUPERIOR AVENUE ,TOMAH,WI,54660,54660,41,2014-10-30T18:13:47
2161,23597,17106,0,111909870,LAMAR NATIONAL BANK,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE ,PARIS,TX,75460,75460,41,2014-10-17T15:58:26
2376,28866,0,2519,221270541,ORITANI BANK,ORITANI BANK,370 PASCACK ROAD ,TOWNSHIP OF WASHINGTON,NJ,7676,7676,41,2014-11-12T11:33:25
2554,18525,0,0,91216324,STATE BANK OF MARIETTA,STATE BANK OF MARIETTA,201 3RD AVENUE NORTH ,MARIETTA,MN,56257,56257,41,2014-10-07T11:12:04
"2732,17230,14688,0,71004446,""ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION"",""ALBANY BANK AND TRUST CO., NATIONAL ASSOCIATION"",3400 WEST LAWRENCE AVENUE ,CHICAGO,IL,60625,60625,41,2014-10-29T14:29:40"
2750,5408,0,0,104901940,GENOA COMMUNITY BANK,GENOA COMMUNITY BANK,502 WILLIARD AVENUE ,GENOA,NE,68640,68640,41,2014-10-22T16:35:36
3177,30273,705091,5091,231271080,OCEAN CITY HOME BANK,OCEAN CITY HOME BANK,1001 ASBURY AVENUE ,OCEAN CITY,NJ,8226,8226,41,2014-10-30T14:51:05
"3252,5410,8521,0,104102781,""FIRST NATIONAL BANK OF GORDON, THE"",FIRST NATIONAL BANK OF GORDON,134 NORTH MAIN ,GORDON,NE,69343,69343,41,2014-10-29T10:17:21"
3458,16103,0,0,101918169,FARMERS BANK OF GREEN CITY,FARMERS BANK OF GREEN CITY,1 SOUTH LINCOLN STREET ,GREEN CITY,MO,63545,63545,41,2014-10-30T21:35:15
"3720,15671,0,0,53206738,""BANK OF CLARENDON, THE"",BANK OF CLARENDON,106 SOUTH BROOK STREET ,MANNING,SC,29102,29102,41,2014-10-08T16:16:37"
3971,28865,702518,2518,81204265,MIDCOUNTRY BANK,MIDCOUNTRY BANK,2611 BLUE HERON DRIVE ,MARION,IL,62959,62959,41,2014-10-30T19:16:07
4156,13157,0,0,101102124,KANZA BANK,KANZA BANK,151 NORTH MAIN ,KINGMAN,KS,67068,67068,41,2014-10-24T14:13:57
4231,16440,0,0,61212345,FARMERS AND MERCHANTS BANK,FARMERS AND MERCHANTS BANK,104 NORTH MAIN STREET ,SYLVANIA,GA,30467,30467,41,2014-10-23T08:54:18
4437,6795,13830,13423,51501558,FIRST NATIONAL BANK,FIRST NATIONAL BANK,1 CEDAR STREET ,RONCEVERTE,WV,24970,24970,41,2014-10-29T16:35:32
4839,11694,0,0,71001122,AUSTIN BANK OF CHICAGO,AUSTIN BANK OF CHICAGO,5645 WEST LAKE STREET ,CHICAGO,IL,60644,60644,41,2014-10-27T15:02:39
5069,24332,0,0,122237599,FIRST CREDIT BANK,FIRST CREDIT BANK,9255 SUNSET BOULEVARD ,WEST HOLLYWOOD,CA,90069,90069,41,2014-10-29T17:38:30
5135,15496,0,14097,61202931,FIRST STATE BANK OF BLAKELY,FIRST STATE BANK OF BLAKELY,2213 SOUTH MAIN STREET ,BLAKELY,GA,39823,39823,41,2014-10-29T16:53:10
5210,7506,0,0,31309945,ACNB BANK,ACNB BANK,16 LINCOLN SQUARE ,GETTYSBURG,PA,17325,17325,41,2014-10-29T09:11:51
5461,19434,0,0,121125660,BANK OF AGRICULTURE AND COMMERCE,BANK OF AGRICULTURE AND COMMERCE,2021 WEST MARCH LANE ,STOCKTON,CA,95207,95207,41,2014-10-30T18:57:27
5751,15194,0,0,101106625,KEARNY COUNTY BANK,KEARNY COUNTY BANK,221 NORTH MAIN STREET ,LAKIN,KS,67860,67860,41,2014-10-30T12:19:33
6039,15699,0,14102,61211964,ALMA EXCHANGE BANK & TRUST,ALMA EXCHANGE BANK AND TRUST,501 WEST 12TH STREET ,ALMA,GA,31510,31510,41,2014-10-22T13:11:16
6141,16567,0,0,84201896,TALLAHATCHIE COUNTY BANK,TALLAHATCHIE COUNTY BANK,1 EAST MAIN STREET ,CHARLESTON,MS,38921,38921,41,2014-10-30T11:14:48
6329,9923,0,13430,53206741,ANDERSON BROTHERS BANK,ANDERSON BROTHERS BANK,101 NORTH MAIN STREET ,MULLINS,SC,29574,29574,41,2014-10-31T15:57:31
7009,20015,0,0,21203970,BESSEMER TRUST COMPANY,BESSEMER TRUST COMPANY,100 WOODBRIDGE CENTER DRIVE ,WOODBRIDGE,NJ,07095-1191,7095,41,2014-10-30T11:45:23
"7045,5779,0,0,83905326,""PEOPLES BANK, THE"",PEOPLES BANK,100 NORTH MAIN STREET ,BROWNSTOWN,IN,47220,47220,41,2014-10-10T13:46:21"
7072,28870,702528,2528,221972234,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,23 WALLKILL AVE. ,WALLKILL,NY,12589,12589,41,2014-10-30T14:36:17
7157,15057,0,0,101102810,STATE BANK OF BLUE RAPIDS,STATE BANK OF BLUE RAPIDS,21 PUBLIC SQUARE ,BLUE RAPIDS,KS,66411,66411,41,2014-10-21T19:09:48
7456,13962,0,0,104110977,BANK OF HARTINGTON,BANK OF HARTINGTON,229 NORTH BROADWAY ,HARTINGTON,NE,68739,68739,41,2014-10-22T15:39:50
"7634,15904,0,0,61112034,""FOUR COUNTY BANK, THE"",FOUR COUNTY BANK,959 MAIN STREET ,ALLENTOWN,GA,31003,31003,41,2014-10-28T11:54:21"
8033,23090,0,15605,65202830,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,PEOPLES BANK AND TRUST COMPANY OF POINTE COUPEE PARISH,805 HOSPITAL ROAD ,NEW ROADS,LA,70760,70760,41,2014-10-20T15:54:43
"8462,3388,11595,0,111318584,""PERRYTON NATIONAL BANK, THE"",PERRYTON NATIONAL BANK,825 SOUTH MAIN STREET ,PERRYTON,TX,790703556,79070,41,2014-10-20T16:51:02"
"8631,847,0,0,51501765,""PLEASANTS COUNTY BANK, THE"",PLEASANTS COUNTY BANK,323 SECOND ST ,SAINT MARYS,WV,26170,26170,41,2014-10-27T11:20:23"
9357,20268,0,0,91014924,FIDELITY BANK,FIDELITY BANK,7600 PARKLAWN AVENUE ,EDINA,MN,55435,55435,41,2014-10-30T16:20:21
9553,14311,0,0,104907708,ADAMS COUNTY BANK,ADAMS COUNTY BANK,401 N SMITH AVE ,KENESAW,NE,68956,68956,41,2014-10-29T18:03:22
9807,6423,0,9315,21204416,AMBOY BANK,AMBOY BANK,3590 U.S. HIGHWAY 9 SOUTH ,OLD BRIDGE,NJ,8857,8857,41,2014-10-30T09:45:46
"9955,15899,0,0,101101992,""FIRST STATE BANK AND TRUST COMPANY OF LARNED, THE"",FIRST STATE BANK AND TRUST COMPANY OF LARNED,116 WEST 6TH ,LARNED,KS,67550,67550,41,2014-10-27T13:39:57"
"10250,1607,0,0,91903831,""BANK OF ELK RIVER, THE"",BANK OF ELK RIVER,630 MAIN ST. ,ELK RIVER,MN,55330,55330,41,2014-10-09T15:15:07"
10849,15050,0,0,82902003,FIRST STATE BANK,FIRST STATE BANK,101 SOUTH CENTER STREET ,LONOKE,AR,72086,72086,41,2014-10-09T10:27:57
11145,8172,0,11663,72405604,LAKE-OSCEOLA STATE BANK,LAKE-OSCEOLA STATE BANK,790 NORTH MICHIGAN AVENUE ,BALDWIN,MI,49304,49304,41,2014-10-27T13:53:59
11275,30284,705106,5106,281073555,PULASKI BANK,PULASKI BANK,12300 OLIVE BOULEVARD ,CREVE COEUR,MO,63141,63141,41,2014-10-30T15:52:51
11640,19070,15284,0,84201029,FIRST NATIONAL BANK OF CLARKSDALE,FIRST NATIONAL BANK OF CLARKSDALE,402 EAST SECOND STREET ,CLARKSDALE,MS,38614,38614,41,2014-10-30T16:00:59
"11837,5709,0,17705,61107861,""FARMERS BANK, THE"",FARMERS BANK,202 SOUTH MAIN STREET ,GREENSBORO,GA,30642,30642,41,2014-10-23T14:49:56"
12030,17011,16258,12295,61212866,FIRST NATIONAL BANK SOUTH,FIRST NATIONAL BANK SOUTH,423 WEST 12TH STREET ,ALMA,GA,31510,31510,41,2014-10-28T16:30:37
"12142,12201,0,0,84202280,""CLEVELAND STATE BANK, THE"",CLEVELAND STATE BANK,110 COMMERCE AVENUE ,CLEVELAND,MS,38732,38732,41,2014-10-15T12:12:44"
12179,29899,0,4287,242272405,AMERICAN SAVINGS BANK,AMERICAN SAVINGS BANK,701 NORTH UNIVERSITY BOULEVARD ,MIDDLETOWN,OH,45042,45042,41,2014-10-24T10:52:03
12245,15093,0,0,75907112,BANK NORTH,BANK NORTH,704 MAIN STREET ,WAUSAUKEE,WI,54177,54177,41,2014-10-24T12:41:15
"12311,6560,7745,0,44000024,""HUNTINGTON NATIONAL BANK, THE"",HUNTINGTON NATIONAL BANK,17 SOUTH HIGH STREET ,COLUMBUS,OH,43215,43215,31,2014-10-29T15:34:34"
12647,10012,0,0,75904377,PORTAGE COUNTY BANK,PORTAGE COUNTY BANK,1155 COUNTY ROAD D ,ALMOND,WI,549099777,54909,41,2014-10-24T17:56:23
12656,14944,0,0,101107624,EMERALD BANK,EMERALD BANK,333 N. MAIN STREET ,BURDEN,KS,67019,67019,41,2014-10-28T12:37:49
12937,20226,0,0,71001449,OAK BANK,OAK BANK,1000 N RUSH STREET ,CHICAGO,IL,60611,60611,41,2014-10-24T12:33:59
12946,1291,0,0,82901635,FARMERS BANK & TRUST COMPANY,FARMERS BANK AND TRUST COMPANY,200 EAST MAIN STREET ,MAGNOLIA,AR,71753,71753,41,2014-10-30T12:03:31
12955,21704,0,0,104001138,BANK OF NEBRASKA,BANK OF NEBRASKA,7223 SOUTH 84TH STREET ,LA VISTA,NE,68128,68128,41,2014-10-14T12:27:02
13103,23622,0,8406,211370859,BRISTOL COUNTY SAVINGS BANK,BRISTOL COUNTY SAVINGS BANK,35 BROADWAY ,TAUNTON,MA,2780,2780,41,2014-10-30T15:23:43
13251,10185,0,0,91907374,ELYSIAN BANK,ELYSIAN BANK,121 EAST MAIN STREET ,ELYSIAN,MN,56028,56028,41,2014-11-07T15:34:47
13457,5425,0,0,104107786,BANK OF LEWELLEN,BANK OF LEWELLEN,302 MAIN STREET ,LEWELLEN,NE,69147,69147,41,2014-10-30T16:26:51
14052,9042,0,0,91501411,LINCOLN COMMUNITY BANK,LINCOLN COMMUNITY BANK,1400 EAST MAIN STREET ,MERRILL,WI,54452,54452,41,2014-10-16T15:41:22
14155,9378,0,0,101902146,F & C BANK,F AND C BANK,1006 EAGLE CREST DRIVE ,HOLDEN,MO,64040,64040,41,2014-10-28T18:30:45
14650,16795,0,0,103112730,BANK OF LOCUST GROVE,BANK OF LOCUST GROVE,124 EAST MAIN STREET ,LOCUST GROVE,OK,74352,74352,41,2014-10-27T17:20:29
"14753,18101,0,0,101104711,""FARMERS STATE BANK OF BUCKLIN, KANSAS, THE"",""FARMERS STATE BANK OF BUCKLIN, KANSAS"",111 NORTH MAIN STREET ,BUCKLIN,KS,67834,67834,41,2014-10-22T13:23:12"
14865,16243,0,0,123203535,BANK OF EASTERN OREGON,BANK OF EASTERN OREGON,279 NORTH MAIN STREET ,HEPPNER,OR,97836,97836,41,2014-10-23T14:00:00
"14977,30291,0,0,311372252,""FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB"",""FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB"",301 X.I.T. DRIVE ,LITTLEFIELD,TX,79339,79339,41,2014-10-30T11:49:43"
16458,17105,0,0,101114646,DOUGLAS COUNTY BANK,DOUGLAS COUNTY BANK,9TH AND KENTUCKY ,LAWRENCE,KS,66044,66044,41,2014-10-29T16:44:22
16551,10956,0,0,91907471,NORTHVIEW BANK,NORTHVIEW BANK,510 MAIN STREET ,SANDSTONE,MN,55072,55072,41,2014-10-29T09:44:27
"16748,13104,0,0,81307382,""ELBERFELD STATE BANK, THE"",ELBERFELD STATE BANK,55 MAIN STREET ,ELBERFELD,IN,47613,47613,41,2014-10-27T16:09:37"
"16944,11404,0,0,72405620,""WEST MICHIGAN SAVINGS BANK, THE"",WEST MICHIGAN SAVINGS BANK,232 WEST MONROE ,BANGOR,MI,49013,49013,41,2014-10-30T12:52:47"
16953,10186,0,0,91204682,FIRST STATE BANK OF FERTILE,FIRST STATE BANK OF FERTILE,114 MILL ST. N. ,FERTILE,MN,56540,56540,41,2014-10-17T13:12:08
"17110,26189,0,0,36002085,""HAVERFORD TRUST COMPANY, THE"",HAVERFORD TRUST COMPANY,100 MATSONFORD ROAD 3 RADNOR CORPORATE CENTER SUITE 450,RADNOR,PA,19087,19087,41,2014-10-27T16:16:29"
"17147,4365,2234,11365,74900657,""FIRST MERCHANTS BANK, NATIONAL ASSOCIATION"",""FIRST MERCHANTS BANK, NATIONAL ASSOCIATION"",200 EAST JACKSON STREET ,MUNCIE,IN,47305,47305,41,2014-10-28T16:33:53"
"17259,26260,20838,0,103102494,""FIRST NATIONAL BANK IN MARLOW, THE"",FIRST NATIONAL BANK IN MARLOW,301 WEST MAIN STREET ,MARLOW,OK,73055,73055,41,2014-10-27T15:41:05"
17464,22407,0,0,123206024,BANK OF THE CASCADES,BANK OF THE CASCADES,1100 NORTHWEST WALL STREET ,BEND,OR,97701,97701,41,2014-10-30T18:34:43
"17950,2224,10844,0,92903542,""BANK OF BRIDGER, NATIONAL ASSOCIATION"",""BANK OF BRIDGER, NATIONAL ASSOCIATION"",101 S. MAIN STREET ,BRIDGER,MT,59014,59014,41,2014-10-28T08:38:25"
17978,29904,704307,4307,264271280,ELIZABETHTON FEDERAL SAVINGS BANK,ELIZABETHTON FEDERAL SAVINGS BANK,112-114 NORTH SYCAMORE STREET ,ELIZABETHTON,TN,376433326,37643,41,2014-10-17T16:42:22
"18050,3091,4093,0,114904953,""FIRST NATIONAL BANK OF BASTROP, THE"",FIRST NATIONAL BANK OF BASTROP,489 HIGHWAY 71 WEST ,BASTROP,TX,786023217,78602,41,2014-10-30T12:52:59"
"18135,19536,24430,0,71001232,""SOUTH CENTRAL BANK, NATIONAL ASSOCIATION"",""SOUTH CENTRAL BANK, NATIONAL ASSOCIATION"",525 WEST ROOSEVELT ROAD ,CHICAGO,IL,60607,60607,41,2014-10-29T14:12:46"
18377,34440,0,9245,231371731,BALLY SAVINGS BANK,BALLY SAVINGS BANK,323 MAIN STREET ,BALLY,PA,19503,19503,41,2014-10-30T15:45:55
"18827,7900,5073,0,43307524,""FARMERS AND MERCHANTS BANK OF WESTERN PENNSYLVANIA, NATIONAL ASSOCIATION"",""FARMERS AND MERCHANTS BANK OF WESTERN PENNSYLVANIA, NATIONAL ASSOCIATION"",222 MARKET STREET ,KITTANNING,PA,16201,16201,41,2014-10-30T15:42:41"
18836,9998,0,12053,52203703,CAPON VALLEY BANK,CAPON VALLEY BANK,2 W MAIN ST ,WARDENSVILLE,WV,26851,26851,41,2014-10-19T19:52:27
18854,4147,0,0,103103778,BANK 7,BANK 7,1039 NW 63RD STREET ,OKLAHOMA CITY,OK,73116,73116,41,2014-10-30T14:51:59
19356,9881,0,0,103110907,SECURITY BANK AND TRUST COMPANY,SECURITY BANK AND TRUST COMPANY,2 SOUTH MAIN STREET ,MIAMI,OK,74354,74354,41,2014-10-29T12:31:48
19730,16606,0,0,71909363,STANDARD BANK AND TRUST COMPANY,STANDARD BANK AND TRUST COMPANY,7800 WEST 95TH STREET ,HICKORY HILLS,IL,60457,60457,41,2014-10-29T11:46:59
19936,15477,0,12677,61201042,CITIZENS BANK OF AMERICUS,CITIZENS BANK OF AMERICUS,119 NORTH LEE STREET ,AMERICUS,GA,31709,31709,41,2014-10-21T15:41:58
19972,34711,0,9008,243374108,FARMERS BUILDING AND SAVINGS BANK,FARMERS BUILDING AND SAVINGS BANK,290 WEST PARK ,ROCHESTER,PA,15074,15074,41,2014-10-29T12:35:40
20053,10015,0,0,91806242,SECURITY BANK,SECURITY BANK,112 EAST MAIN ST. ,NEW AUBURN,WI,54757,54757,41,2014-10-30T20:17:21
20512,7704,3877,0,31309343,FIRST NATIONAL BANK OF PORT ALLEGANY,FIRST NATIONAL BANK OF PORT ALLEGANY,64 N. MAIN ST ,PORT ALLEGANY,PA,16743,16743,41,2014-10-29T15:49:18
20633,6803,0,0,51501723,MCNB BANK AND TRUST CO.,MCNB BANK AND TRUST CO.,75 WYOMING ST ,WELCH,WV,24801,24801,41,2014-10-29T16:51:56
20857,10998,0,0,91902793,GRANITE FALLS BANK,GRANITE FALLS BANK,702 PRENTICE ST. ,GRANITE FALLS,MN,56241,56241,41,2014-10-10T15:12:17
21256,16583,0,0,101114565,STATE BANK OF BURRTON,STATE BANK OF BURRTON,200 NORTH BURRTON ,BURRTON,KS,67020,67020,41,2014-10-25T11:42:21
21359,22263,0,0,91205128,AMERICAN STATE BANK OF GRYGLA,AMERICAN STATE BANK OF GRYGLA,102 SOUTH MAIN AVENUE ,GRYGLA,MN,56727,56727,41,2014-10-30T11:06:26
21630,20041,0,12528,65201789,TECHE BANK AND TRUST COMPANY,TECHE BANK AND TRUST COMPANY,606 SOUTH MAIN STREET ,SAINT MARTINVILLE,LA,70582,70582,41,2014-10-27T15:26:41
21658,12511,0,0,91803355,ALLIANCE BANK,ALLIANCE BANK,245 S. EAU CLAIRE ST. ,MONDOVI,WI,54755,54755,41,2014-10-30T11:37:11
22048,1753,0,0,82901567,UNION BANK & TRUST COMPANY,UNION BANK AND TRUST COMPANY,102 WEST MCCLOY ,MONTICELLO,AR,71655,71655,41,2014-10-20T15:10:03
22543,8162,0,11909,72406506,STATE SAVINGS BANK,STATE SAVINGS BANK,703 MAIN STREET ,FRANKFORT,MI,49635,49635,41,2014-10-28T13:45:51
22552,10576,0,0,91204462,FIRST SOUTHEAST BANK,FIRST SOUTHEAST BANK,3 MAIN AVENUE NORTH ,HARMONY,MN,55939,55939,41,2014-10-29T10:29:25
22730,2452,0,0,51502159,WEST UNION BANK,WEST UNION BANK,105 E MAIN STREET ,WEST UNION,WV,26456,26456,41,2014-10-24T14:49:29
22936,16673,0,10640,61212688,FARMERS & MERCHANTS BANK,FARMERS AND MERCHANTS BANK,201 NORTH MAIN STREET ,STATESBORO,GA,30458,30458,41,2014-10-24T14:26:47
23045,24471,0,0,72413421,WEST MICHIGAN BANK & TRUST,WEST MICHIGAN BANK AND TRUST,501 MAIN STREET ,FRANKFORT,MI,496351009,49635,41,2014-10-24T17:19:43
"23456,5162,6906,0,91204763,""FIRST NATIONAL BANK OF HENNING, THE"",FIRST NATIONAL BANK OF HENNING,106 MN HWY 78 NORTH ,OTTERTAIL,MN,56571,56571,41,2014-10-30T17:13:05"
"23504,6976,9669,9545,21406667,""BRIDGEHAMPTON NATIONAL BANK, THE"",BRIDGEHAMPTON NATIONAL BANK,2200 MONTAUK HIGHWAY ,BRIDGEHAMPTON,NY,11932,11932,41,2014-11-10T16:53:45"
23643,90,0,0,82905343,COMMERCIAL BANK & TRUST COMPANY,COMMERCIAL BANK AND TRUST COMPANY,212 WEST GAINES STREET ,MONTICELLO,AR,71655,71655,41,2014-10-29T13:34:46
23755,5357,11412,0,91809980,FIRST NATIONAL COMMUNITY BANK,FIRST NATIONAL COMMUNITY BANK,109 EAST SECOND STREET ,NEW RICHMOND,WI,54017,54017,41,2014-10-23T11:42:10
24006,15995,0,17455,221970980,PUTNAM COUNTY SAVINGS BANK,PUTNAM COUNTY SAVINGS BANK,DREWVILLE ROAD AND CARMEL AVENUE ,BREWSTER,NY,10509,10509,41,2014-10-29T12:51:06
"24378,32307,0,8123,241271054,""GALION BUILDING AND LOAN BANK, THE"",GALION BUILDING AND LOAN BANK,135 S MARKET STREET ,GALION,OH,44833,44833,41,2014-10-24T13:23:53"
24453,24334,0,0,102305098,ROCKY MOUNTAIN BANK,ROCKY MOUNTAIN BANK,890 WEST BROADWAY ,JACKSON,WY,83001,83001,41,2014-10-27T15:48:51
24659,10178,0,0,91915722,PRODUCE STATE BANK,PRODUCE STATE BANK,109 PARK AVENUE WEST ,HOLLANDALE,MN,56045,56045,41,2014-10-27T16:30:51
"24668,3402,10646,0,111912498,""BANK TEXAS, NATIONAL ASSOCIATION"",""BANK TEXAS, NATIONAL ASSOCIATION"",412 E GOODE ST ,QUITMAN,TX,757831544,75783,41,2014-10-30T18:00:14"
"24855,4155,11306,0,103111087,""FIRST NATIONAL BANK OF NASH, THE"",FIRST NATIONAL BANK OF NASH,107 SOUTH MAIN STREET ,NASH,OK,73761,73761,41,2014-10-03T13:14:50"
"24949,12788,14397,0,75901590,""BARABOO NATIONAL BANK, THE"",BARABOO NATIONAL BANK,101 THIRD AVENUE ,BARABOO,WI,53913,53913,41,2014-10-30T14:27:53"
25357,20093,0,0,103001456,ALL AMERICA BANK,ALL AMERICA BANK,200 S. ROCKWELL AVENUE ,OKLAHOMA CITY,OK,73128,73128,41,2014-10-21T14:50:12
25647,22536,0,0,71924681,FIRSTSECURE BANK AND TRUST CO.,FIRSTSECURE BANK AND TRUST CO.,10360 SOUTH ROBERTS ROAD ,PALOS HILLS,IL,60465,60465,41,2014-10-29T14:52:28
"26176,30306,705141,5141,322070145,""BROADWAY FEDERAL BANK, F.S.B."",""BROADWAY FEDERAL BANK, F.S.B."",""5055 WILSHIRE BOULEVARD, SUITE 100 "",LOS ANGELES,CA,90036,90036,41,2014-10-30T20:03:21"
"26242,18979,20412,0,82901033,""INTEGRITY FIRST BANK, NATIONAL ASSOCIATION"",""INTEGRITY FIRST BANK, NATIONAL ASSOCIATION"",502 HICKORY STREET ,MOUNTAIN HOME,AR,72653,72653,41,2014-10-27T15:44:07"
26457,16423,0,0,101918279,LA MONTE COMMUNITY BANK,LA MONTE COMMUNITY BANK,201 EAST FRONT STREET ,LA MONTE,MO,65337,65337,41,2014-10-05T22:55:08
"26765,3405,0,0,114912589,VANTAGE BANK TEXAS,VANTAGE BANK TEXAS,""45 NE LOOP 410, SUITE 500 "",SAN ANTONIO,TX,78216,78216,41,2014-11-06T16:24:21"
27070,29294,703235,3235,291571270,TIME FEDERAL SAVINGS BANK,TIME FEDERAL SAVINGS BANK,675 EAST BROADWAY PO BOX 239,MEDFORD,WI,54451,54451,41,2014-10-22T11:43:58
27548,14078,0,0,275971854,BLACKHAWK BANK,BLACKHAWK BANK,400 BROAD STREET ,BELOIT,WI,53511,53511,41,2014-10-30T15:53:41
"27614,10663,0,0,41208719,""ANDOVER BANK, THE"",ANDOVER BANK,19 PUBLIC SQUARE ,ANDOVER,OH,440030519,44003,41,2014-10-30T08:46:58"
27847,1527,0,0,82904056,DIAMOND BANK,DIAMOND BANK,319 EAST MAIN STREET ,MURFREESBORO,AR,71958,71958,41,2014-10-17T15:56:54
28013,28710,718063,18063,226071457,NORTHFIELD BANK,NORTHFIELD BANK,1731 VICTORY BLVD ,STATEN ISLAND,NY,10314,10314,41,2014-10-30T16:10:35
28152,11415,0,0,91908179,HARVEST BANK,HARVEST BANK,75 NORTH MAIN STREET ,KIMBALL,MN,55353,55353,41,2014-10-11T10:30:25
"28255,3095,4238,0,114902777,""FIRST NATIONAL BANK OF BEEVILLE, THE"",FIRST NATIONAL BANK OF BEEVILLE,1400 E HOUSTON ST ,BEEVILLE,TX,78102,78102,41,2014-10-30T11:02:02"
28349,91,0,0,82902579,ALLIED BANK,ALLIED BANK,311 MAIN STREET ,MULBERRY,AR,72947,72947,41,2014-10-22T11:03:14
28406,90160,0,14800,211073981,BLUE HILLS BANK,BLUE HILLS BANK,1196 RIVER STREET ,HYDE PARK,MA,2136,2136,41,2014-10-28T17:02:01
"28675,29293,703234,3234,291871226,""CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK"",""CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK"",1390 SECOND AVE. ,CUMBERLAND,WI,54829,54829,41,2014-10-24T07:57:17"
28732,1475,0,0,64102384,PEOPLES BANK & TRUST COMPANY,PEOPLES BANK AND TRUST COMPANY,1203 HILLSBORO BOULEVARD ,MANCHESTER,TN,37355,37355,41,2014-10-13T12:21:36
29476,31711,0,7368,284170109,RIVERBANK SAVINGS AND LOAN ASSOCIATION,RIVERBANK SAVINGS AND LOAN ASSOCIATION,520 SOUTHWEST SECOND STREET ,CORNING,AR,72422,72422,41,2014-10-28T13:56:29
"29636,12204,0,10889,65302154,""CITIZENS BANK OF PHILADELPHIA, THE"",CITIZENS BANK OF PHILADELPHIA,521 MAIN STREET ,PHILADELPHIA,MS,39350,39350,41,2014-10-30T14:30:19"
