CIK,IRS_NUMBER,CONFORMED_NAME,MinOfFILING_DATE,FORMER_CONFORMED_NAME,FORMER_NAME_CHANGED,ASSIGNED_SIC,I_COUNTRY,I_STPR,B_STREET,B_STREET1,B_STREET2,B_CITY,B_STPR,B_POSTAL,B_COUNTRY,B_PHONE,M_STREET,M_STREET1,M_STREET2,M_CITY,M_STPR,M_POSTAL,M_COUNTRY
2034,111720520,ACETO CORP,20141208,ACETO CHEMICAL CO INC,19851203,5122,US,NY,4 TRI HARBOR COURT ,4 TRI HARBOR COURT,,PORT WASHINGTON,NY,11050,US,5166276000,4 TRI HARBOR COURT ,4 TRI HARBOR COURT,,PORT WASHINGTON,NY,11050,US
2098,60236700,ACME UNITED CORP,20080612,ACME SHEAR CO,19710713,3420,US,CT,60 ROUND HILL ROAD ,60 ROUND HILL ROAD,,FAIRFIELD,CT,6824,US,203-254-6060,60 ROUND HILL ROAD ,60 ROUND HILL ROAD,,FAIRFIELD,CT,6824,US
2110,362692100,COLUMBIA ACORN TRUST,20081231,LIBERTY ACORN TRUST,20010424,,US,MA,227 W MONROE STE 3000 ,227 W MONROE STE 3000,,CHICAGO,IL,60606,US,3126349200,227 W MONROE STE 3000 ,227 W MONROE STE 3000,,CHICAGO,IL,60606,US
2135,510310342,AFFILIATED COMPUTER SERVICES INC,20080605,ACS INVESTORS INC,19940603,7374,US,DE,2828 N HASKELL AVE PO BOX 219002,2828 N HASKELL AVE,PO BOX 219002,DALLAS,TX,75204,US,2148416111,2828 N HASKELL ,2828 N HASKELL,,DALLAS,TX,75204,US
"2178,741753147,""ADAMS RESOURCES & ENERGY, INC."",20120509,ADAMS RESOURCES & ENERGY INC,19920703,5172,US,DE,17 S. BRIAR HOLLOW LN. ,17 S. BRIAR HOLLOW LN.,,HOUSTON,TX,77027,US,7138813600,P O BOX 844 ,P O BOX 844,,HOUSTON,TX,77001,US"
2186,593486297,RELM WIRELESS CORP,20080701,ADAGE INC,19920703,3663,US,NV,7100 TECHNOLOGY DRIVE ,7100 TECHNOLOGY DRIVE,,WEST MELBOURNE,FL,32904,US,321-984-1414,7100 TECHNOLOGY DRIVE ,7100 TECHNOLOGY DRIVE,,WEST MELBOURNE,FL,32904,US
2230,134912740,ADAMS EXPRESS CO,20140423,,,,US,MD,SEVEN ST PAUL STREET SUITE 1140,SEVEN ST PAUL STREET,SUITE 1140,BALTIMORE,MD,21202,US,4107525900,SEVEN ST PAUL STREET SUITE 1140,SEVEN ST PAUL STREET,SUITE 1140,BALTIMORE,MD,21202,US
"2303,751832551,""PROSPERA FINANCIAL SERVICES, INC."",20090828,PROSPERA FINANCIAL SERVICES INC                         /BD,20020301,,US,TX,5429 LBJ FREEWAY SUITE 400,5429 LBJ FREEWAY,SUITE 400,DALLAS,TX,75240,US,972-581-3000,5429 LBJ FREEWAY SUITE 400,5429 LBJ FREEWAY,SUITE 400,DALLAS,TX,75240,US"
2380,132790515,ADMINISTRATIVE DATA MANAGEMENT CORP /TA,20130327,ADMINISTRATIVE DATA MANAGEMENT CORP                     /TA,20000101,,,,RARITAN PLAZA 1 110 FIELDCREST AVE 8TH FLOOR,RARITAN PLAZA 1,110 FIELDCREST AVE 8TH FLOOR,EDISON,NJ,08837-3620,US,7328552500,RARITAN PLAZA 1 P.O. BOX 7837,RARITAN PLAZA 1,P.O. BOX 7837,EDISON,NJ,08818-7837,US
2467,131991722,ADVANCED COMPUTER TECHNIQUES CORP,20130920,,,7373,US,NY,24 E 38TH ST ,24 E 38TH ST,,NEW YORK,NY,10016,US,2126794040, ,,,,,,
2473,0,ADVANCED DIGITAL SYSTEMS INC,20110812,,,,US,DE,4601 CREEKSTONE DRIVE SUITE 102,4601 CREEKSTONE DRIVE,SUITE 102,DURHAM,NC,27703,US,919-485-4819,4601 CREEKSTONE DRIVE SUITE 102,4601 CREEKSTONE DRIVE,SUITE 102,DURHAM,NC,27703,US
2488,941692300,ADVANCED MICRO DEVICES INC,20080711,,,3674,US,DE,ONE AMD PL MS 68,ONE AMD PL,MS 68,SUNNYVALE,CA,94088-3453,US,4087322400,ONE AMD PLACE MS 68,ONE AMD PLACE,MS 68,SUNNYVALE,CA,94088-3450,US
"2491,880104066,""BALLY TECHNOLOGIES, INC."",20090508,ALLIANCE GAMING CORP,19950104,7372,US,NV,6601 S. BERMUDA RD. ,6601 S. BERMUDA RD.,,LAS VEGAS,NV,89119,US,7028967700,6601 S. BERMUDA RD. ,6601 S. BERMUDA RD.,,LAS VEGAS,NV,89119,US"
"2554,410974576,""AEI SECURITIES, INC."",20090312,AEI SECURITIES INC                                      /BD,20000101,,US,MN,1300 WELLS FARGO PLACE 30 SEVENTH STREET EAST,1300 WELLS FARGO PLACE,30 SEVENTH STREET EAST,ST. PAUL,MN,55101-4901,US,651-227-7333,1300 WELLS FARGO PLACE 30 SEVENTH STREET EAST,1300 WELLS FARGO PLACE,30 SEVENTH STREET EAST,ST. PAUL,MN,55101-4901,US"
2601,111974412,AEROFLEX INC,20081211,ARX INC,19920703,3674,US,DE,35 S SERVICE RD ,35 S SERVICE RD,,PLAINVIEW,NY,11803,US,5166946700,35 S SERVICE ROAD ,35 S SERVICE ROAD,,PLAINVIEW,NY,11803,US
"2646,60891902,VOYA INTERMEDIATE BOND PORTFOLIO,20140428,ING INTERMEDIATE BOND PORTFOLIO,20090508,,US,CT,""ING FUNDS SERVICES 7337 E. DOUBLETREE RANCH ROAD, STE 100"",ING FUNDS SERVICES,""7337 E. DOUBLETREE RANCH ROAD, STE 100"",SCOTTSDALE,AZ,85258,US,480-477-3000,""7337 E. DOUBLETREE RANCH ROAD, STE 100 "",""7337 E. DOUBLETREE RANCH ROAD, STE 100"",,SCOTTSDALE,AZ,85258,US"
"2663,60920532,ING MONEY MARKET PORTFOLIO,20140429,ING MONEY MARKET PORTFOLIO,20090508,,US,MD,""7337 E. DOUBLETREE RANCH ROAD, STE 100 "",""7337 E. DOUBLETREE RANCH ROAD, STE 100"",,SCOTTSDALE,AZ,85258,US,480-477-3000,""7337 E. DOUBLETREE RANCH ROAD, STE100 "",""7337 E. DOUBLETREE RANCH ROAD, STE100"",,SCOTTSDALE,AZ,85258-2038,US"
"2664,60912550,VOYA VARIABLE FUNDS,20140428,ING VARIABLE FUNDS,20020501,,US,MD,""7337 E. DOUBLETREE RANCH ROAD, STE 100 "",""7337 E. DOUBLETREE RANCH ROAD, STE 100"",,SCOTTSDALE,AZ,85258,US,480-477-3000,""7337 E. DOUBLETREE RANCH ROAD, STE100 "",""7337 E. DOUBLETREE RANCH ROAD, STE100"",,SCOTTSDALE,AZ,06103-3602,US"
2691,136020600,LORD ABBETT AFFILIATED FUND INC,20081224,LORD ABBOTT AFFILIATED FUND INC,19960315,,US,MD,90 HUDSON STREET ,90 HUDSON STREET,,JERSEY CITY,NJ,7302,US,201-827-2000,90 HUDSON STREET ,90 HUDSON STREET,,JERSEY CITY,NJ,7302,US
2768,941693697,FRANKLIN HIGH INCOME TRUST,20081223,AGE HIGH INCOME FUND INC,19920703,,US,DE,ONE FRANKLIN PARKWAY ,ONE FRANKLIN PARKWAY,,SAN MATEO,CA,94403-1906,US,650-312-2000,ONE FRANKLIN PARKWAY ,ONE FRANKLIN PARKWAY,,SAN MATEO,CA,94403-1906,US
2817,420863420,AGRI DYNAMICS INC,20090810,,,3713,US,IA,P O BOX 1043 ,P O BOX 1043,,CHEROKEE,IA,51012,US,7122556417, ,,,,,,
2825,721311232,TEXAS AMERICAN RESOURCES INC,20130917,AGRI SUL INC,19800221,1311,US,TX,1100 TULANE AVE STE 210 ,1100 TULANE AVE STE 210,,NEW ORLEANS,LA,70112,US,5045291832, ,,,,,,
"2869,941552459,""FOOTHILL SECURITIES, INC."",20090528,FOOTHILL SECURITIES INC                                 /BD,20020131,,US,CA,150 E. DANA STREET ,150 E. DANA STREET,,MOUNTAIN VIEW,CA,94041,US,650 625-9701,150 E. DANA STREET ,150 E. DANA STREET,,MOUNTAIN VIEW,CA,94041,US"
2880,112192898,AIC INTERNATIONAL INC,20131030,AIC PHOTO INC,19860407,5040,US,DE,117 E 57TH ST ROOM 21H,117 E 57TH ST,ROOM 21H,NEW YORK,NY,10022,US,2128383220,117 E 57TH ST ROOM 21H,117 E 57TH ST,ROOM 21H,NEW YORK,NY,10022,US
2969,231274455,AIR PRODUCTS & CHEMICALS INC /DE/,20080609,,,2810,US,DE,7201 HAMILTON BLVD ,7201 HAMILTON BLVD,,ALLENTOWN,PA,18195-1501,US,6104814911,7201 HAMILTON BLVD ,7201 HAMILTON BLVD,,ALLENTOWN,PA,18195-1501,US
"3116,720717400,AKORN INC,20130226,,,2834,US,LA,""1925 W. FIELD COURT, SUITE 300 "",""1925 W. FIELD COURT, SUITE 300"",,LAKE FOREST,IL,60045,US,847-279-6100,""1925 W. FIELD COURT, SUITE 300 "",""1925 W. FIELD COURT, SUITE 300"",,LAKE FOREST,IL,60045,US"
3146,630022000,ALABAMA GAS CORP,20080626,,,4924,US,AL,605 RICHARD ARRINGTON JR BLVD NORTH ,605 RICHARD ARRINGTON JR BLVD NORTH,,BIRMINGHAM,AL,35203,US,2053262742,605 RICHARD ARRINGTON JR BLVD NORTH ,605 RICHARD ARRINGTON JR BLVD NORTH,,BIRMINGHAM,AL,35203,US
3153,630004250,ALABAMA POWER CO,20080714,,,4911,US,AL,600 N 18TH ST P O BOX 2641,600 N 18TH ST,P O BOX 2641,BIRMINGHAM,AL,35291,US,2052571000,600 N 18TH ST ,600 N 18TH ST,,BIRMINGHAM,AL,35291,US
"3197,132566064,CECO ENVIRONMENTAL CORP,20110930,API ENTERPRISES INC,19920703,3564,US,DE,""4625 RED BANK ROAD, SUITE 200 "",""4625 RED BANK ROAD, SUITE 200"",,CINCINNATI,OH,45227,US,4165936543,""2300 YONGE STREET, P.O. BOX 2408 SUITE 1710"",""2300 YONGE STREET, P.O. BOX 2408"",SUITE 1710,TORONTO,ON,M4P 1E4,CA"
3202,920009235,ALASKA AIRLINES INC,20080808,STAR AIRLINES,19691119,4512,US,AK,P O BOX 68900 19300 PACIFIC HIGHWAY SOUTH,P O BOX 68900,19300 PACIFIC HIGHWAY SOUTH,SEATTLE,WA,981688,US,206.392.5040,P O BOX 68900 ,P O BOX 68900,,SEATTLE,WA,98168-0900,US
3327,362257936,NEW ALBERTO-CULVER LLC,20081218,ALBERTO CULVER CO,19920703,5990,US,DE,2525 ARMITAGE AVE ,2525 ARMITAGE AVE,,MELROSE PARK,IL,60160,US,7084503039,2525 ARMITAGE AVENUE ,2525 ARMITAGE AVENUE,,MELROSE PARK,IL,60160,US
3370,230334400,IKON OFFICE SOLUTIONS INC,20080626,ALCO STANDARD CORP,19920703,5045,US,OH,PO BOX 834 ,PO BOX 834,,VALLEY FORGE,PA,19482,US,6102968000,PO BOX 834 ,PO BOX 834,,VALLEY FORGE,PA,19482,US
3398,42156392,AEIRE CORP,20130918,ALDEN ELECTRONICS INC,19920703,3661,US,MA,C/O MILGO SOLUTIONS 1619 N HARRISON PARKWAY,C/O MILGO SOLUTIONS,1619 N HARRISON PARKWAY,SUNRISE,FL,33323,US,9548463463,C/O MILGO SOLUTIONS 1619 N HARRISON PARKWAY,C/O MILGO SOLUTIONS,1619 N HARRISON PARKWAY,SUNRISE,FL,33323,US
"3453,990032630,""MATSON, INC."",20130207,ALEXANDER & BALDWIN INC,19920703,4400,US,HI,1411 SAND ISLAND PARKWAY ,1411 SAND ISLAND PARKWAY,,HONOLULU,HI,96819,US,808-848-1211,1411 SAND ISLAND PARKWAY ,1411 SAND ISLAND PARKWAY,,HONOLULU,HI,96819,US"
3475,610652524,ALEXANDER INVESTMENT SERVICES CO.,20130912,ALEXANDER INVESTMENT SERVICES CO                        /BD,20020423,,US,KY,909 LILY CREEK ROAD #101 12700 SHELBYVILLE ROAD,909 LILY CREEK ROAD #101,12700 SHELBYVILLE ROAD,LOUISVILLE,KY,40243-2808,US,502-459-4414,909 LILY CREEK ROAD #101 12700 SHELBYVILLE ROAD,909 LILY CREEK ROAD #101,12700 SHELBYVILLE ROAD,LOUISVILLE,KY,40243-2808,US
3499,510100517,ALEXANDERS INC,20100401,,,6798,US,DE,210 ROUTE 4 EAST ,210 ROUTE 4 EAST,,PARAMUS,NJ,7652,US,201-587-1000,210 ROUTE 4 EAST ,210 ROUTE 4 EAST,,PARAMUS,NJ,7652,US
3520,132510833,FRED ALGER MANAGEMENT INC,20130814,ALGER FRED MANAGEMENT INC,19920929,,US,NY,360 PARK AVENUE SOUTH ,360 PARK AVENUE SOUTH,,NEW YORK,NY,10010,US,212-806-8800,360 PARK AVENUE SOUTH ,360 PARK AVENUE SOUTH,,NEW YORK,NY,10010,US
3521,0,ALGER FUNDS,20111220,ALGER FUND,19920703,,US,MA,360 PARK AVENUE SOUTH ,360 PARK AVENUE SOUTH,,NEW YORK,NY,10010,US,212-806-8833,360 PARK AVENUE SOUTH ,360 PARK AVENUE SOUTH,,NEW YORK,NY,10010,US
"3545,590906081,ALICO INC,20121205,ALICO LAND DEVELOPMENT CO,19740219,100,US,FL,10070 DANIELS INTERSTATE COURT STE. 100 ,10070 DANIELS INTERSTATE COURT STE. 100,,""FT. MYERS,"",FL,33913,US,239-226-2000,10070 DANIELS INTERSTATE COURT STE. 100 ,10070 DANIELS INTERSTATE COURT STE. 100,,""FT. MYERS,"",FL,33913,US"
3570,954352386,CHENIERE ENERGY INC,20110912,BEXY COMMUNICATIONS INC,19940314,4924,US,DE,700 MILAM ST. SUITE 800,700 MILAM ST.,SUITE 800,HOUSTON,TX,77002,US,7133755000,700 MILAM ST. SUITE 800,700 MILAM ST.,SUITE 800,HOUSTON,TX,77002,US
"3588,136086896,""ALL FUNDS, INC."",20090317,ALL FUNDS INC                                           /BD,20000101,,US,NY,1444 ORANGE TURNPIKE ,1444 ORANGE TURNPIKE,,MONROE,NY,10950-3716,US,845-268-6827,PO DRAWER H ,PO DRAWER H,,VALLEY COTTAGE,NY,10989,US"
"3673,135531602,""ALLEGHENY ENERGY, INC"",20080611,ALLEGHENY ENERGY INC,19970926,4911,US,MD,800 CABIN HILL DRIVE ,800 CABIN HILL DRIVE,,GREENSBURG,PA,15601,US,7248373000,800 CABIN HILL DRIVE ,800 CABIN HILL DRIVE,,GREENSBURG,PA,15601,US"
3683,134193615,ALLEN & COMPANY LLC,20090325,ALLEN & COMPANY INCORPORATED,20020904,,US,NY,711 FIFTH AVENUE ,711 FIFTH AVENUE,,NEW YORK,NY,10022,US,212-832-8000,711 FIFTH AVENUE ,711 FIFTH AVENUE,,NEW YORK,NY,10022,US
3794,132754393,ALLIANCEBERNSTEIN BOND FUND INC,20081230,ALLIANCE BOND FUND INC,19920703,,,,ALLIANCEBERNSTEIN LP 1345 AVENUE OF THE AMERICAS,ALLIANCEBERNSTEIN LP,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,US,2129691000,ALLIANCEBERNSTEIN LP 1345 AVENUE OF THE AMERICAS,ALLIANCEBERNSTEIN LP,1345 AVENUE OF THE AMERICAS,NEW YORK,NY,10105,US
3906,521081052,ALLIED CAPITAL CORP,20080612,ALLIED CAPITAL LENDING CORP,19931116,,US,MD,1919 PENNSYLVANIA AVENUE NW ,1919 PENNSYLVANIA AVENUE NW,,WASHINGTON,DC,20006,US,2023311112,1919 PENNSYLVANIA AVENUE NW 1666 K STREET NW,1919 PENNSYLVANIA AVENUE NW,1666 K STREET NW,WASHINGTON,DC,20006,US
3952,42281015,ALLIED DEFENSE GROUP INC,20080814,ALLIED RESEARCH CORP,19920703,3480,US,DE,8000 TOWERS CRESCENT DR SUITE 260,8000 TOWERS CRESCENT DR,SUITE 260,VIENNA,VA,22182,US,7038475268,8000 TOWERS CRESCENT DRIVE STE 750,8000 TOWERS CRESCENT DRIVE,STE 750,VIENNA,VA,22182,US
3959,820277987,ITIS HOLDINGS INC,20130625,ITIS INC,20011030,2731,US,NV,P 0 BOX 44139 .,P 0 BOX 44139,.,HOUSTON,TX,77241-1939,US,281-600-6000,P 0 BOX 44139 .,P 0 BOX 44139,.,HOUSTON,TX,77041,US
3972,362425517,ALLIED TUBE & CONDUIT CORP,20110603,,,,US,DE,16100 SOUTH LATHROP AVENUE ,16100 SOUTH LATHROP AVENUE,,HARVEY,IL,60426,US,(708) 339-16,16100 SOUTH LATHROP AVENUE ,16100 SOUTH LATHROP AVENUE,,HARVEY,IL,60426,US
"3982,273321250,ALLIS CHALMERS ENERGY INC.,20111110,ALLIS CHALMERS CORP,19920703,1389,,,""REMINGTON SQUARE 10613 W SAM HOUSTON PARKWAY, SUITE 600"",REMINGTON SQUARE,""10613 W SAM HOUSTON PARKWAY, SUITE 600"",HOUSTON,TX,77064,US,713-856-4222,""REMINGTON SQUARE 10613 W SAM HOUSTON PARKWAY, SUITE 600"",REMINGTON SQUARE,""10613 W SAM HOUSTON PARKWAY, SUITE 600"",HOUSTON,TX,77064,US"
"3995,741037681,""M. E. ALLISON & CO., INC."",20090317,ALLISON M E & CO INC/TX                                 /BD,20000101,,US,TX,950 EAST BASSE ROAD SECOND FLOOR,950 EAST BASSE ROAD,SECOND FLOOR,SAN ANTONIO,TX,78209-1831,US,210-930-4000,950 EAST BASSE ROAD SECOND FLOOR,950 EAST BASSE ROAD,SECOND FLOOR,SAN ANTONIO,TX,78209-1831,US"
"3999,410631452,ALLISON-WILLIAMS COMPANY,20081212,ALLISON WILLIAMS CO                                     /BD,20000101,,US,MN,""90 SOUTH 7TH STREET, SUITE 3850 "",""90 SOUTH 7TH STREET, SUITE 3850"",,MINNEAPOLIS,MN,55402-2441,US,(612) 333-34,""90 SOUTH 7TH STREET, SUITE 3850 "",""90 SOUTH 7TH STREET, SUITE 3850"",,MINNEAPOLIS,MN,55402-2441,US"
4123,581023492,ENTERPRISE GROUP OF FUNDS INC,20081223,ENTERPRISE GROUP OF FUNDS II INC,20041228,,US,MD,3343 PEACHTREE RD NE SUITE 450,3343 PEACHTREE RD NE,SUITE 450,ATLANTA,GA,30326-1022,US,4043968118,3343 PEACHTREE RD NE SUITE 450,3343 PEACHTREE RD NE,SUITE 450,ATLANTA,GA,30326-1022,US
"4127,42302115,""SKYWORKS SOLUTIONS, INC."",20110721,SKYWORKS SOLUTIONS INC,20020627,3674,US,DE,20 SYLVAN ROAD ,20 SYLVAN ROAD,,WOBURN,MA,1801,US,6179355150,20 SYLVAN ROAD 20 SYLVAN ROAD,20 SYLVAN ROAD,20 SYLVAN ROAD,WOBURN,MA,1801,US"
4187,590712746,INDUSTRIAL SERVICES OF AMERICA INC,20140812,INDUSTRIAL SERVICES OF AMERICA INC /FL,19920703,4950,US,FL,7100 GRADE LANE BUILDING 1,7100 GRADE LANE,BUILDING 1,LOUISVILLE,KY,40213,US,5023681661,7100 GRADE LANE BUILDING 1,7100 GRADE LANE,BUILDING 1,LOUISVILLE,KY,40213,US
4281,250317820,ALCOA INC.,20141009,ALCOA INC,19990105,3350,US,PA,390 PARK AVENUE ,390 PARK AVENUE,,NEW YORK,NY,10022-4608,US,2128362732,390 PARK AVENUE ,390 PARK AVENUE,,NEW YORK,NY,10022-4608,US
4317,870284979,SENTO CORP,20130625,SENTO TECHNICAL INNOVATIONS CORP,19961101,7373,US,UT,420 E SOUTH TEMPLE SUITE 400,420 E SOUTH TEMPLE,SUITE 400,SALT LAKE CITY,UT,84111,US,801-431-9202,420 E SOUTH TEMPLE SUITE 400,420 E SOUTH TEMPLE,SUITE 400,SALT LAKE CITY,UT,84111,US
4319,132648900,APPAREL AMERICA INC,20130625,MILLER SHOE INDUSTRIES INC,19890130,2330,US,DE,1175 STATE ST ,1175 STATE ST,,NEW HAVEN,CT,6511,US,2037775531, 1175 STATE STREET,,1175 STATE STREET,NEW HAVEN,CT,6511,US
4342,,AMANA SOCIETY INC,20140602,,,,,, ,,,,,,,, ,,,,,,
4405,952482877,AMCAP FUND INC,20110822,AMCAP FUND INC,19920703,,US,MD,333 S HOPE ST - 55TH FL (MICG) ,333 S HOPE ST - 55TH FL (MICG),,LOS ANGELES,CA,90071,US,213-486-9200,333 S HOPE ST - 55TH FL (MICG) ,333 S HOPE ST - 55TH FL (MICG),,LOS ANGELES,CA,90071,US
4447,134921002,HESS CORP,20080623,AMERADA HESS CORP,19920703,2911,US,DE,1185 AVENUE OF THE AMERICAS ,1185 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,US,2129978500,1185 AVENUE OF THE AMERICAS ,1185 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,US
4457,880106815,AMERCO /NV/,20080604,AMERCO,19770926,7510,US,NV,1325 AIRMOTIVE WAY STE 100 ,1325 AIRMOTIVE WAY STE 100,,RENO,NV,89502,US,7756886300,1325 AIRMOTIVE WAY SUITE 100,1325 AIRMOTIVE WAY,SUITE 100,RENO,NV,89502,US
4515,131502798,AMERICAN AIRLINES INC,20080603,AMERICAN AIRWAYS INC,19670629,4512,US,DE,4333 AMON CARTER BLVD ,4333 AMON CARTER BLVD,,FT WORTH,TX,76155,US,8179631234,P O BOX 619616 MD5661 ,P O BOX 619616 MD5661,,DALLAS FORT WORTH AI,TX,75261-9616,US
4568,946050854,AMERICAN BALANCED FUND,20130529,AMERICAN BALANCED FUND INC,19920703,,US,DE,ONE MARKET - STEUART TOWER SUITE 2000,ONE MARKET - STEUART TOWER,SUITE 2000,SAN FRANCISCO,CA,94105,US,415-421-9360,P.O. BOX 7650 (MICG) ,P.O. BOX 7650 (MICG),,SAN FRANCISCO,CA,94120,US
4611,41701350,AMERICAN BILTRITE INC,20080612,AMERICAN BILTRITE RUBBER CO INC,19730621,3089,US,DE,57 RIVER STREET SUITE 302,57 RIVER STREET,SUITE 302,WELLESLEY HILLS,MA,2481,US,6172376655,57 RIVER STREET SUITE 302,57 RIVER STREET,SUITE 302,WELLESLEY HILLS,MA,2481,US
4707,590723480,AMERICA CAPITAL CORP,20081222,AMERICAN CAPITAL CORP,19920703,6036,US,FL,1221 BRICKELL AVE STE 2650,1221 BRICKELL AVE,STE 2650,MIAMI,FL,33131,US,3055361400,1221 BRICKELL AVE ,1221 BRICKELL AVE,,MIAMI,FL,33131,US
4811,581033765,AMERICAN CONSUMERS INC,20080724,,,5411,US,GA,PO BOX 2328 418A BATTLEFIELD PKWY,PO BOX 2328,418A BATTLEFIELD PKWY,FORT OGLETHORPE,GA,30742,US,7068613347,P O BOX 2328 418-A BATTLEFIELD PARKWAY,P O BOX 2328,418-A BATTLEFIELD PARKWAY,FORT OGLETHORPE,GA,30742,US
4828,840004720,AMERICAN CRYSTAL SUGAR CO /MN/,20080625,,,2060,US,MN,101 N 3RD ST ,101 N 3RD ST,,MOORHEAD,MN,56560,US,6122028110,101 NORTH THIRD STREET ,101 NORTH THIRD STREET,,MOORHEAD,MN,56560,US
4904,134922640,AMERICAN ELECTRIC POWER CO INC,20080624,KINGSPORT UTILITIES INC,19660906,4911,US,NY,1 RIVERSIDE PLAZA ,1 RIVERSIDE PLAZA,,COLUMBUS,OH,43215,US,614-716-1000,1 RIVERSIDE PLAZA ,1 RIVERSIDE PLAZA,,COLUMBUS,OH,43215,US
4962,134922250,AMERICAN EXPRESS CO,20080609,,,6199,US,NY,200 VESEY STREET 50TH FLOOR,200 VESEY STREET,50TH FLOOR,NEW YORK,NY,10285,US,2126402000,200 VESEY STREET 50TH FLOOR,200 VESEY STREET,50TH FLOOR,NEW YORK,NY,10285,US
4969,111988350,AMERICAN EXPRESS CREDIT CORP,20080805,,,6153,US,DE,ONE CHRISTINA CENTRE 301 N WALNUT STREET SUITE 1002,ONE CHRISTINA CENTRE 301 N WALNUT STREET,SUITE 1002,WILMINGTON,DE,19801-2919,US,3025943350,ONE CHRISTINA CENTRE 301 N WALNUT STREET SUITE 1002,ONE CHRISTINA CENTRE 301 N WALNUT STREET,SUITE 1002,WILMINGTON,DE,19801-2919,US
4977,581167100,AFLAC INC,20080627,AMERICAN FAMILY CORP,19920306,6321,US,GA,1932 WYNNTON RD ,1932 WYNNTON RD,,COLUMBUS,GA,31999,US,7063233431,1932 WYNNTON ROAD ,1932 WYNNTON ROAD,,COLUMBUS,GA,31999,US
